Nome_Montadora;Nome_Modelo;Classificacao_Modelo;Ano_Inicio;Ano_Fim;Filtro_Ar;Filtro_Oleo;Filtro_Combustivel;Filtro_Cabine
Audi;A4;FSI ‐ (Avant) ‐ gasolina ‐ tiptronic / multitronic;05 ; 08;FAP6007;WOE612;FCI1290;AKX1100
Audi;A4;gasolina ‐ automático / multitronic;00 ; 03;FAP6007;WO181;FCI1288;AKX1110
Audi;A4;TFSI ‐ (Ambiente / Ambition / Attraction) ‐ gasolina ‐ multitronic;04 ; 08;FAP6007;WOE640;FCI1290;AKX1110
Audi;A4;TFSI ‐ (Ambition) ‐ gasolina ‐ multitronic;2013 ;;FAP9053;WOE624;;AKX1113
Audi;A4;TFSI ‐ (Avant / Exclusive Avant / Exclusive Variant / Sport) ‐ gasolina ‐ automático / mecânico /;2014 ;;FAP9053;WOE624;;AKX1113
Audi;A4;TFSI ‐ (Avant / Quattro) ‐ gasolina ‐ tiptronic / multitronic;2009 ;;WR218;WOE612;;AKX1113
Audi;A4;TFSI S ‐ Tronic ‐ (Ambiente / Ambition / Attraction) ‐ gasolina ‐ multitronic;08 ; 12;FAP9053;WO592;FCI1400;AKX1113
Audi;A4;TFSI S ‐ Tronic ‐ (Ambiente / Launch Edition / Attraction) ‐ gasolina ‐ multitronic;2016 ;;WR374;WOE624;;AKX1118F
Audi;A4;Turbo ‐ (Avant / Exclusive Avant / Exclusive Variant / Sport) ‐ gasolina ‐ automático / mecânico;00 ; 07;FAP6007;WO343;FCI1289;AKX1110
Audi;A4;Turbo ‐ (Avant) ‐ gasolina ‐ automático / mecânico / tiptronic;95 ; 01;FAP4813;WO181;FCI1105A;AKX3543
Audi;A5;FSI ‐ (Coupé / Quattro) ‐ gasolina ‐ multitronic;2007 ;;WR218;WOE612;FCI1400;AKX1113
Audi;A5;TFSI ‐ (Sportback / Prestige / SLine) ‐ gasolina ‐ automático;2016 ;;WR374;WOE624;FCI1400;AKX1118F
Audi;A5;TFSI ‐ (Sportback) ‐ gasolina ‐ automático / multitronic;2015 ;;FAP9053;WOE624;;AKX1113
Audi;A5;TFSI S ‐ Tronic ‐ (Ambiente / Sportback) ‐ gasolina ‐ multitronic;2008 ;;FAP9053;WO592;FCI1400;AKX1113
Audi;A5;TFSI S ‐ Tronic ‐ (Coupé Ambition / Quattro / Sportback) ‐ gasolina ‐ multitronic;2013 ;;FAP9053;WOE624;;AKX1113
Audi;A6;(Avant / All Road / Limousine) ‐ gasolina ‐ mecânico / multitronic;01 ; 07;FAP4813;WO460;FCI1105A;AKX1100
Audi;A6;(Avant / All Road / Limousine) ‐ gasolina ‐ mecânico / multitronic;05 ; 06;WR371;WO344;FCI1289;AKX1111
Audi;A6;(Avant / Plus / Quattro) ‐ gasolina ‐ tiptronic;94 ; 96;FAP4854;WO345;FCI1104C;AKX35635
Audi;A6;(Avant / Plus / Quattro) ‐ gasolina ‐ tiptronic;99 ; 04;FAP4813;WO345;FCI1107A;AKX1100
Audi;A6;(Avant / Plus / Quattro) ‐ tiptronic;96 ; 97;FAP4813;WO345;FCI1104C;AKX35635
Audi;A6;(Avant / Quattro / All Road a partir de N° de Chassis 4BX045000) ‐ gasolina ‐ tiptronic / Mult;98 ; 01;FAP4813;WO460;FCI1105A;AKX1100
Audi;A6;(Avant / Quattro / All Road até N° de Chassis 4BX045000) ‐ gasolina ‐ tiptronic / multitronic;98 ; 01;FAP4813;WO460;FCI1105A;AKX35636
Audi;A6;(Avant / Quattro / All Road) ‐ gasolina ‐ tiptronic / multitronic;01 ; 05;FAP4813;WO344;FCI1105A;AKX1110
Audi;A6;(Avant / Quattro a partir N° de Chassis 4AS026713) ‐ gasolina ‐ tiptronic;94 ; 97;FAP4816;WO350;FCI1104C;AKX35635
Audi;A6;(Avant / Quattro até N° de Chassis 4AS026713) ‐ gasolina ‐ tiptronic;94 ; 97;FAP4816;WO181;FCI1104C;AKX35635
Audi;A6;(Avant / Quattro) ‐ gasolina ‐ tiptronic;97 ; 98;FAP4813;WO344;FCI1105A;AKX1110
Audi;A6;(Avant / Quattro) ‐ gasolina ‐ tiptronic;99 ; 01;FAP4813;WO460;FCI1105A;AKX1100
Audi;A6;(Avant a partir deN° de Chassis 4BX045000) ‐ gasolina ‐ multitronic;98 ; 02;FAP4813;WO460;FCI1105A;AKX1100
Audi;A6;(Avant até N° de Chassis 4BX045000) ‐ gasolina ‐ multitronic;98 ; 02;FAP4813;WO460;FCI1105A;AKX35636
Audi;A6;(Quattro) ‐ gasolina ‐ tiptronic / multitronic;04 ; 08;WR371;WOE612;FCI1289;AKX1111
Audi;A6;Audi ‐ (Quattro / Limousine) ‐ gasolina ‐ tiptronic;04 ; 06;WR371;WOE650;FCI1289;AKX1111
Audi;A6;FSI ‐ (Avant / Plus / Quattro) ‐ gasolina ‐ automático / tiptronic;2006 ;;WR371;WOE660;FCI1290;AKX1111
Audi;A6;FSI ‐ gasolina ‐ automático / tiptronic;2004 ;;WR371;WOE612;FCI1290;AKX1111
Audi;A6;S6 Turbo ‐ (Quattro) ‐ gasolina ‐ automático / mecânico;94 ; 97;FAP6001;WO370;FCI1104C;
Audi;A6;TDI Turbo ‐ (Quattro) ‐ diesel ‐ automático / mecânico;94 ; 97;FAP6001;;;
Audi;A6;TFSI ‐ (Comfort / Sport Plus / Quattro) ‐ gasolina ‐ tiptronic / multitronic;09 ;11;WR371;WOE612;FCI1290;AKX1111
Audi;A6;TFSI Quattro S tronic ‐ gasolina ‐ automático;2018 ;;WR369;WOE227;;
Audi;A6;TFSI S ‐ Tronic ‐ (Ambiente / Sportback) ‐ gasolina ‐ automático;2015 ;;WR216;WOE624;;
Audi;A6;TFSI S ‐ Tronic ‐ (Comfort / Sport Plus / Quattro) ‐ gasolina ‐ tiptronic / multitronic;12 ; 14;WR369;WOE612;;
Audi;A6;TFSI S ‐ Tronic ‐ (Sedan / Ambition / Quattro) ‐ gasolina ‐ automático;2015 ;;WR369;WOE624;;
Audi;A7;TSFI S ‐ Tronic ‐ (Sportback / Quattro) ‐ gasolina ‐ tiptronic / multitronic;2012 ;;WR369;WOE612;;
Audi;A8;(Quattro / Limousine) ‐ gasolina ‐ automático / tiptronic;07 ; 08;WR211;WOE660;FCI1290;
Audi;A8;(Quattro / Limousine) ‐ gasolina ‐ automático / tiptronic;2010 ;;FAP4054;WOE660;FCI1288;
Audi;A8;(Quattro / Limousine) ‐ gasolina ‐ tiptronic;02 ; 06;WR211;WOE650;FCI1288;
Audi;A8;(Quattro / Limousine) ‐ gasolina ‐ tiptronic;94 ; 02;FAP4854;WEO0620;FCI1107A;AKX1120
Audi;A8;TFSI ‐ (Quattro) ‐ gasolina ‐ automático;13 ; 17;WR190;;;
Audi;A8;TFSI ‐ (Sportback / Quattro) ‐ gasolina ‐ automático;15 ; 16;WR190;WOE612;;
Audi;A8;W12 ‐ (Quattro) ‐ gasolina ‐ automático / tiptronic;06 ; 08;WR367;WOE660;FCI1290;
Audi;Allroad;gasolina ‐ automático / tiptronic;02 ; 05;FAP4813;WOE650;FCI1107A;AKX1110
Audi;Allroad;Turbo ‐ (Quattro) ‐ gasolina ‐ tiptronic;01 ; 05;FAP4813;WO460;FCI1107A;AKX1100
Audi;Q3;TFSI (S‐Tronic / Quattro) ‐ gasolina;13 ; 18;FAP6012;WOE624;;AKX1100
Audi;Q3;TSFI S‐Tronic ‐ (Ambiente / Ambition / Atraction / Quattro) ‐ gasolina ‐ automático / tiptronic;2012 ;;FAP6012;WO592;;AKX1100
Audi;Q3;TSFI S‐Tronic ‐ (Ambiente / Atraction) ‐ gasolina ‐ automático;2015 ;;FAP3285;WO346;;AKX1100
Audi;Q5;FSI ‐ (Ambition / Atraction / Quattro) ‐ gasolina ‐ automático / tiptronic;2009 ;;WR218;WOE612;;AKX1113
Audi;Q5;TFSI ‐ (Ambition / Quattro) ‐ gasolina ‐ automático;13 ; 16;WR218;WOE612;;AKX1113
Audi;Q5;TFSI ‐ (Attraction / Ambiente / Quattro) ‐ gasolina ‐ automático;2013 ;;FAP9053;WOE624;;AKX1113
Audi;Q5;TSFI S‐Tronic ‐ (Ambiente /Atraction / Quattro) ‐ gasolina ‐ automático / tiptronic;2009 ;;FAP9053;WO592;;AKX1113
Audi;Q5;TSFI S‐Tronic ‐ (Attraction /Ambition / Ambiente) ‐ gasolina ‐ automático / tiptronic;2016 ;;WR376;WOE624;;AKX1118F
Audi;Q7;(Attraction /Ambition / Ambiente) ‐ gasolina ‐ automático;2018 ;;JFA0A15;;FCE0200;
Audi;Q7;(Hybrid) ‐ gasolina / automático;2019 ;;JFA0A17;;;AKX1118F
Audi;Q7;FSI ‐ (Quattro) ‐ gasolina ‐ automático / tiptronic;06 ;10;FAP9032;WOE660;;AKX1140
Audi;Q7;FSI ‐ (Quattro) ‐ gasolina ‐ automático / tiptronic;09 ;10;FAP9032;WOE620;;AKX1140
Audi;Q7;TFSI ‐ (Ambiente / Quattro) ‐ gasolina ‐ automático / tiptronic;2010 ;;FAP9032;WOE612;;AKX1140
Audi;Q8;(Tiptronic / Black) ‐ gasolina ‐ automático;2019 ;;JFA0A15;;FCE0200;
Audi;R8;FSI R ‐ Tronic ‐ (Quattro / Spyder / GT) ‐ gasolina ‐ automático / tiptronic;2009 ;;WR372;WOE660;FCI1290;AKX1111
Audi;R8;FSI R ‐ Tronic ‐ (Quattro / Spyder / GT) ‐ gasolina ‐ automático / tiptronic;2009 ;;JFA0A16‐2;;;
Audi;R8;FSI R ‐ Tronic ‐ (Quattro) ‐ automático / tiptronic;2010 ;;WR372;WOE660;FCI1290;AKX1111
Audi;RS Q3;TFSI S ‐ Tronic ‐ (Quattro) ‐ gasolina ‐ automático;2014 ;;FAP9053;WOE640;;AKX1100
Audi;RS3;TFSI S ‐ Tronic ‐ (Sportback) ‐ gasolina ‐ automático / tiptronic;12 ; 16;FAP9039;WOE640;FCI1304;AKX1111
Audi;RS4;Bi Turbo ‐ (Avant) ‐ gasolina ‐ automático / tiptronic;2001;;FAP4013;WO181;;AKX3543
Audi;RS4;FSI ‐ (Avant) ‐ gasolina ‐ multitronic;2013 ;;WR374;WOE660;;AKX1113
Audi;RS4;FSI ‐ (Quattro) ‐ gasolina ‐ automático / multitronic;05 ; 09;FAP9117;WOE660;FCI1290;AKX1110
Audi;RS4;FSI ‐ gasolina ‐ multitronic;07 ; 12;FAP9117;WOE660;FCI1290;AKX1110
Audi;RS5;FSI ‐ gasolina ‐ automático / multitronic;10 ; 11;FAP9117;WOE660;;AKX1113
Audi;RS5;FSI S ‐ Tronic ‐ (Quattro / Coupé) ‐ gasolina ‐ automático / tiptronic;2011 ;;FAP9297;WOE660;FCI1400;AKX1113
Audi;RS6;Bi Turbo ‐ (Avant / Limousine / Quattro) ‐ gasolina ‐ tiptronic;03 ; 04;FAP9040;WO370;FCI1101A;AKX1100
Audi;S3;TFSI S ‐ Tronic ‐ (Seda / Quattro) ‐ gasolina ‐ automático;2015 ;;FAP9065;WOE624;;AKX35281
Audi;S3;TFSI S ‐ Tronic ‐ (Sportback / Quattro) ‐ gasolina ‐ automático / tiptronic;07 ; 12;FAP9071;WOE640;FCI1304;AKX1100
Audi;S3;TFSI S ‐ Tronic ‐ (Sportback / Quattro) ‐ gasolina ‐ automático / tiptronic;13 ; 14;FAP9065;WOE624;;AKX35281
Audi;S3;Turbo ‐ (Quattro) ‐ gasolina ‐ mecânico;99 ; 03;FAP4045;WOE660;FCI1290;AKX1111
Audi;S4;(Avant / Quattro) ‐ gasolina ‐ tiptronic;04 ; 05;FAP9117;WOE650;FCI1288;AKX1100
Audi;S4;TFSI S ‐ Tronic ‐ (Plus / Premiun / Prestige / Sedã) ‐ gasolina ‐ automático;2011 ;;WR218;WOE612;FCI1400;AKX1113
Audi;S4;Turbo ‐ (Avant / Quattro) ‐ gasolina ‐ mecânico;00 ; 02;FAP4813;WO344;FCI1107A;AKX3543
Audi;S5;FSI ‐ gasolina ‐ automático / multitronic;2007 ;;FAP9053;WOE660;;AKX1113
Audi;S5;TFSI S ‐ Tronic ‐ (Coupé / Cabriolet / Sportback / multitronic) ‐ gasolina ‐ automático;2009 ;;FAP9053;WOE612;FCI1400;AKX1113
Audi;S6;(Avant / Quattro) ‐ gasolina ‐ tiptronic;02 ; 04;FAP4813;WO345;FCI1107A;AKX1110
Audi;S6;FSI ‐ (Avant / Quattro / Sedã) ‐ gasolina ‐ automático;2007 ;;WR217;WOE660;FCI1290;AKX1111
Audi;S6;Turbo ‐ (Avant) ‐ gasolina ‐ mecânico;96 ; 98;FAP4816;WO181;FCI1104C;AKX35635
Audi;S8;(Quattro) ‐ gasolina ‐ manual / tiptronic;96 ; 01;FAP4854;WEO0620;;AKX1120
Audi;SQ5;TFSIS‐Tronic ‐ (Quattro) ‐ gasolina ‐ automático / tiptronic;2014 ;;WR218;WOE612;;AKX1113
Audi;TT;TFSI S ‐ Tronic ‐ (Cabriolet / Coupé / Roadster) ‐ gasolina ‐ automático / mecânico / tiptronic;06 ; 10;FAP9025;WOE640;FCI1300;AKX1100
Audi;TT;TFSI S ‐ Tronic ‐ (Coupé / Attraction / Ambition) ‐ gasolina ‐ automático;2015 ;;FAP9065;WOE624;;AKX35281
Audi;TT;TFSI S ‐ Tronic ‐ (Coupé / Roadster) ‐ gasolina ‐ automático / mecânico / tiptronic / multitronic;10 ; 14;FAP6012;WO592;FCI1304;AKX1100
Audi;TT;Turbo ‐ (Quattro / Roadster) ‐ gasolina ‐ automático;98 ; 06;FAP4045;WO181;FCI1288;AKX35132
Audi;TTRS;TFSI ‐ (Quattro) ‐ gasolina ‐ automático;2012 ;;FAP9039;WOE640;FCI1304;AKX1100
Audi;TTS;TFSI S ‐ Tronic ‐ (Cabriolet / Coupé / Roadster) ‐ gasolina ‐ automático / mecânico / tiptronic;10 ; 11;FAP6012;WO592;FCI1304;AKX1100
Audi;TTS;TFSI S ‐ Tronic ‐ (Coupé / Roadster) ‐ gasolina ‐ automático / mecânico / tiptronic / multitronic;2011 ;;FAP9039;WOE640;FCI1304;AKX1100
BMW;220i;Active Tourer;2018 ;;FAP9298;WOE226;;AKX1593/CF‐2
BMW;225i;Turbo ‐ (Active Tourer) ‐ gasolina ‐ automático;2015 ;;FAP9298;WOE226;;
BMW;330E M;330e M Turbo ‐ (Sport / Híbrido) ‐ automático;2020 ;;FAP2421;WOE237;;
BMW;420i;(Cabrio Sport GP) ‐ gasolina ‐ automático;2015 ;;FAP9066;WOE224;;AKX1541F
BMW;428i;(F32 / F33 / F36 ‐ Gran Coupé Sport) ‐ gasolina ‐ automático;2015 ;;FAP9066;WOE224;;AKX1541F
BMW;435i;(Coupé) ‐ gasolina ‐ automático;2014 ;;FAP9068;WOE221;;AKX1541F
BMW;518i;(E34) ‐ gasolina ‐ mecânico;1995;;FAP4817;WOE230;FCI1105A;AKX35102
BMW;518i;(E34) ‐ gasolina ‐ mecânico;89 ; 94;FAP4817;WOE523;FCI1105A;AKX35102
BMW;520i;(39) ‐ gasolina;00 ; 04;FAP4830;WOE220;FCI1733;AKX1465
BMW;520i;(39) ‐ gasolina;96 ; 00;FAP4830;WOE220;FCI1732;AKX1465
BMW;520i;(E28) ‐ gasolina;85 ; 87;FAP4817;WO370;FCI1105A;
BMW;520i;(E34 ‐ Sedã) ‐ gasolina ‐ mecânico;89 ; 95;FAP4828;WEO0522;FCI1105A;AKX35102
BMW;525i;(E34 ‐ Sedã / Touring) ‐ gasolina ‐ automático / mecânico;89 ; 95;FAP4828;WEO0522;FCI1105A;AKX35102
BMW;525i;(E34) ‐ gasolina ‐ mecânico;88 ; 89;FAP4817;WO370;FCI1105A;AKX35102
BMW;525i;A ‐ (E39 ‐ Touring) ‐ gasolina ‐ automático / mecânico;00 ; 04;FAP4830;WOE220;FCI1733;AKX1465
BMW;528i;(E39 ‐ Sedã / Touring) ‐ gasolina ‐ automático / mecânico;96 ; 00;FAP4830;WOE220;FCI1732;AKX1465
BMW;528i;Turbo ‐ (F10 / F11 ‐ Sedã) ‐ gasolina ‐ automático;12 ; 13;FAP9285;WOE233;;AKX1570‐2
BMW;528i;Turbo ‐ (F10 / F11 ‐ Sedã) ‐ gasolina ‐ automático;2013 ;;FAP9285;WOE221;;AKX1570‐2
BMW;530E M;530e M ‐ (Sport / Híbrido) ‐ automático;2020 ;;FAP2421;WOE237;;
BMW;530i;(E34 ‐ Sedã / Touring / Top) ‐ gasolina ‐ automático / mecânico;92 ; 94;FAP4813;WEO0517/1;FCI1105A;AKX35102
BMW;530i;(E34 ‐ Sedã / Touring / Top) ‐ gasolina ‐ automático / mecânico;94 ; 96;FAP4813;WOE240;FCI1732;AKX35102
BMW;530i;V8 24V ‐ (E34 ‐ Sedã / Touring / Top) ‐ gasolina ‐ automático / mecânico;00 ; 03;FAP4830;WOE220;FCI1733;AKX1465
BMW;530i;V8 24V ‐ (E34 ‐ Sedã / Touring / Top) ‐ gasolina ‐ automático / mecânico;88 ; 91;FAP4818;WEO0517;FCI1105A;AKX35102
